nohup: ignoring input
timestamp, index, power.draw [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 03:58:14.099, 0, 119.90 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:58:14.099, 1, 126.91 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:58:24.099, 0, 119.90 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:58:24.099, 1, 126.81 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:58:34.099, 0, 119.89 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:58:34.099, 1, 126.82 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:58:44.099, 0, 119.88 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:58:44.099, 1, 126.86 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:58:54.099, 0, 119.89 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:58:54.099, 1, 126.43 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:59:04.099, 0, 119.92 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:59:04.099, 1, 126.85 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:59:14.099, 0, 119.86 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:59:14.099, 1, 126.90 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:59:24.099, 0, 119.87 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:59:24.099, 1, 126.89 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:59:34.099, 0, 119.87 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:59:34.099, 1, 126.88 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:59:44.099, 0, 119.89 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:59:44.099, 1, 126.90 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:59:54.099, 0, 119.89 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:59:54.099, 1, 126.81 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:00:04.098, 0, 119.23 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:00:04.099, 1, 126.78 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:00:14.098, 0, 119.24 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
