epoch,iso,phase,interval_ms,power.draw,utilization.gpu,utilization.memory,memory.used,clocks.sm,clocks.mem,temperature.gpu
1789867861.82,2026-09-20T01:31:01.820207+00:00,baseline,28.2,644.72,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867861.851,2026-09-20T01:31:01.851313+00:00,baseline,31.1,645.51,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867861.88,2026-09-20T01:31:01.879756+00:00,baseline,28.4,645.51,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867861.912,2026-09-20T01:31:01.912162+00:00,baseline,32.4,645.51,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867861.94,2026-09-20T01:31:01.940309+00:00,baseline,28.1,645.51,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867861.969,2026-09-20T01:31:01.968887+00:00,baseline,28.6,647.28,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867861.998,2026-09-20T01:31:01.998097+00:00,baseline,29.2,647.28,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.032,2026-09-20T01:31:02.031995+00:00,baseline,33.9,647.28,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.061,2026-09-20T01:31:02.060861+00:00,baseline,28.9,648.3,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.09,2026-09-20T01:31:02.089802+00:00,baseline,28.9,648.3,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.118,2026-09-20T01:31:02.118167+00:00,baseline,28.4,648.3,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.147,2026-09-20T01:31:02.146565+00:00,baseline,28.4,650.64,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.176,2026-09-20T01:31:02.175737+00:00,baseline,29.2,650.64,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.204,2026-09-20T01:31:02.204372+00:00,baseline,28.6,650.64,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.233,2026-09-20T01:31:02.232949+00:00,baseline,28.6,650.64,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.262,2026-09-20T01:31:02.261594+00:00,baseline,28.6,651.36,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.29,2026-09-20T01:31:02.289979+00:00,baseline,28.4,651.36,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.318,2026-09-20T01:31:02.318324+00:00,baseline,28.3,651.36,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.347,2026-09-20T01:31:02.346804+00:00,baseline,28.5,654.17,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.377,2026-09-20T01:31:02.376701+00:00,baseline,29.9,654.17,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.405,2026-09-20T01:31:02.405294+00:00,baseline,28.6,654.17,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.434,2026-09-20T01:31:02.433586+00:00,baseline,28.3,654.17,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.462,2026-09-20T01:31:02.462415+00:00,baseline,28.8,655.37,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.491,2026-09-20T01:31:02.490721+00:00,baseline,28.3,655.37,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.519,2026-09-20T01:31:02.519053+00:00,baseline,28.3,655.37,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.547,2026-09-20T01:31:02.547297+00:00,baseline,28.2,655.37,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.575,2026-09-20T01:31:02.575293+00:00,baseline,28.0,657.18,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.604,2026-09-20T01:31:02.603948+00:00,baseline,28.7,657.18,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867862.633,2026-09-20T01:31:02.633128+00:00,baseline,29.2,657.18,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867862.663,2026-09-20T01:31:02.663043+00:00,baseline,29.9,657.54,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867862.691,2026-09-20T01:31:02.691494+00:00,baseline,28.5,657.54,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.72,2026-09-20T01:31:02.720373+00:00,baseline,28.9,657.54,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.749,2026-09-20T01:31:02.748662+00:00,baseline,28.3,657.54,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.777,2026-09-20T01:31:02.777165+00:00,baseline,28.5,657.56,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.807,2026-09-20T01:31:02.806759+00:00,baseline,29.6,657.56,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867862.835,2026-09-20T01:31:02.835393+00:00,baseline,28.6,657.56,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867862.864,2026-09-20T01:31:02.864364+00:00,baseline,29.0,657.59,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867862.893,2026-09-20T01:31:02.892801+00:00,baseline,28.4,657.59,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.921,2026-09-20T01:31:02.921281+00:00,baseline,28.5,657.59,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.95,2026-09-20T01:31:02.949606+00:00,baseline,28.3,657.59,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867862.979,2026-09-20T01:31:02.978822+00:00,baseline,29.2,657.51,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867863.008,2026-09-20T01:31:03.007854+00:00,baseline,29.0,657.51,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.036,2026-09-20T01:31:03.036331+00:00,baseline,28.5,657.51,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.064,2026-09-20T01:31:03.064495+00:00,baseline,28.2,657.58,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.093,2026-09-20T01:31:03.092860+00:00,baseline,28.4,657.58,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.121,2026-09-20T01:31:03.121259+00:00,baseline,28.4,657.58,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.149,2026-09-20T01:31:03.149461+00:00,baseline,28.2,657.58,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.179,2026-09-20T01:31:03.178784+00:00,baseline,29.3,657.47,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.208,2026-09-20T01:31:03.208199+00:00,baseline,29.4,657.47,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.237,2026-09-20T01:31:03.236521+00:00,baseline,28.3,657.47,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.265,2026-09-20T01:31:03.264793+00:00,baseline,28.3,657.66,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.295,2026-09-20T01:31:03.294965+00:00,baseline,30.2,657.66,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.323,2026-09-20T01:31:03.323280+00:00,baseline,28.3,657.66,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.352,2026-09-20T01:31:03.352000+00:00,baseline,28.7,657.66,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.381,2026-09-20T01:31:03.381281+00:00,baseline,29.3,658.18,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.412,2026-09-20T01:31:03.411784+00:00,baseline,30.5,658.18,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.441,2026-09-20T01:31:03.440554+00:00,baseline,28.8,658.18,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.469,2026-09-20T01:31:03.469024+00:00,baseline,28.5,658.19,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.498,2026-09-20T01:31:03.497561+00:00,baseline,28.5,658.19,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.526,2026-09-20T01:31:03.525908+00:00,baseline,28.3,658.19,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.554,2026-09-20T01:31:03.554376+00:00,baseline,28.5,658.19,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.583,2026-09-20T01:31:03.583169+00:00,baseline,28.8,658.47,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.612,2026-09-20T01:31:03.612032+00:00,baseline,28.9,658.47,99.0,5.0,884.0,1980.0,3201.0,56.0
