nohup: ignoring input
timestamp, index, power.draw [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 04:52:20.800, 0, 256.74 W, 81 %, 1486 MiB, 1980 MHz, 3201 MHz, 48
2026/09/25 04:52:20.800, 1, 271.56 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 49
2026/09/25 04:52:25.801, 0, 259.04 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 52
2026/09/25 04:52:25.801, 1, 272.15 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 55
2026/09/25 04:52:30.801, 0, 192.01 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 53
2026/09/25 04:52:30.802, 1, 201.56 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 54
2026/09/25 04:52:35.802, 0, 176.69 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 46
2026/09/25 04:52:35.802, 1, 188.38 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 48
2026/09/25 04:52:40.802, 0, 238.24 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 46
2026/09/25 04:52:40.803, 1, 251.13 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 48
2026/09/25 04:52:45.803, 0, 197.08 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 52
2026/09/25 04:52:45.803, 1, 202.04 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 54
2026/09/25 04:52:50.804, 0, 211.44 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:52:50.804, 1, 219.59 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 47
2026/09/25 04:52:55.804, 0, 226.83 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 52
2026/09/25 04:52:55.804, 1, 238.46 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 54
2026/09/25 04:53:00.804, 0, 222.59 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:53:00.804, 1, 209.99 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 47
2026/09/25 04:53:05.805, 0, 153.63 W, 86 %, 1486 MiB, 1980 MHz, 3201 MHz, 50
2026/09/25 04:53:05.805, 1, 156.63 W, 42 %, 1486 MiB, 1980 MHz, 3201 MHz, 51
2026/09/25 04:53:10.806, 0, 209.57 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 46
2026/09/25 04:53:10.806, 1, 222.71 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 47
2026/09/25 04:53:15.806, 0, 179.67 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:53:15.806, 1, 190.82 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 46
