=== PHASE A: Writing known pattern, sustained hold ===
HOLD 2026-07-30T05:30:47.703416 966, 246.89, 0
4, 196.34, 0
HOLD 2026-07-30T05:30:47.849422 966, 246.79, 0
4, 196.34, 0
HOLD 2026-07-30T05:30:47.989659 966, 246.78, 0
4, 196.33, 0
HOLD 2026-07-30T05:30:48.130274 966, 246.78, 0
4, 196.30, 0
HOLD 2026-07-30T05:30:48.270334 966, 246.73, 0
4, 196.32, 0
HOLD 2026-07-30T05:30:48.414574 966, 246.72, 0
4, 196.37, 0
HOLD 2026-07-30T05:30:48.552787 966, 246.74, 0
4, 196.38, 0
HOLD 2026-07-30T05:30:48.849564 966, 246.81, 0
4, 196.35, 0
HOLD 2026-07-30T05:30:49.182780 966, 246.81, 0
4, 196.36, 0
HOLD 2026-07-30T05:30:49.324034 966, 246.80, 0
4, 196.33, 0
HOLD 2026-07-30T05:30:49.463351 966, 246.80, 0
4, 196.29, 0
HOLD 2026-07-30T05:30:49.608212 966, 246.81, 0
4, 196.27, 0
HOLD 2026-07-30T05:30:49.876520 966, 246.77, 0
4, 196.28, 0
HOLD 2026-07-30T05:30:50.018792 966, 246.82, 0
4, 196.27, 0
HOLD 2026-07-30T05:30:50.158279 966, 246.83, 0
4, 196.20, 0
HOLD 2026-07-30T05:30:50.433009 966, 246.88, 0
4, 196.22, 0
HOLD 2026-07-30T05:30:50.573117 966, 246.82, 0
4, 196.18, 0
HOLD 2026-07-30T05:30:50.883037 966, 246.85, 0
4, 196.16, 0
HOLD 2026-07-30T05:30:51.177618 966, 246.87, 0
4, 196.15, 0
HOLD 2026-07-30T05:30:51.329762 966, 246.79, 0
4, 196.20, 0
HOLD 2026-07-30T05:30:51.603736 966, 246.84, 0
4, 196.18, 0
HOLD 2026-07-30T05:30:51.748370 966, 246.85, 0
4, 196.16, 0
HOLD 2026-07-30T05:30:52.019381 966, 246.85, 0
4, 196.25, 0
HOLD 2026-07-30T05:30:52.352194 966, 246.85, 0
4, 196.20, 0
HOLD 2026-07-30T05:30:52.495002 966, 246.90, 0
4, 196.26, 0
HOLD 2026-07-30T05:30:52.864117 966, 246.94, 0
4, 196.29, 0
HOLD 2026-07-30T05:30:53.012205 966, 246.95, 0
4, 196.37, 0
HOLD 2026-07-30T05:30:53.151838 966, 246.98, 0
4, 196.37, 0
HOLD 2026-07-30T05:30:53.471138 966, 246.97, 0
4, 196.34, 0
HOLD 2026-07-30T05:30:53.612909 966, 246.97, 0
4, 196.32, 0
HOLD 2026-07-30T05:30:53.753230 966, 246.88, 0
4, 196.29, 0
HOLD 2026-07-30T05:30:53.892578 966, 246.89, 0
4, 196.26, 0
HOLD 2026-07-30T05:30:54.033655 966, 246.86, 0
4, 196.25, 0
HOLD 2026-07-30T05:30:54.172886 966, 246.87, 0
4, 196.24, 0
HOLD 2026-07-30T05:30:54.460690 966, 246.88, 0
4, 196.25, 0
HOLD 2026-07-30T05:30:54.608351 966, 246.89, 0
4, 196.25, 0
HOLD 2026-07-30T05:30:54.861927 966, 246.92, 0
4, 196.23, 0
HOLD 2026-07-30T05:30:55.012661 966, 246.93, 0
4, 196.23, 0
HOLD 2026-07-30T05:30:55.307430 966, 246.96, 0
4, 196.26, 0
HOLD 2026-07-30T05:30:55.550340 966, 246.96, 0
4, 196.25, 0
HOLD 2026-07-30T05:30:55.821778 966, 246.99, 0
4, 196.26, 0
HOLD 2026-07-30T05:30:55.963190 966, 246.97, 0
4, 196.18, 0
HOLD 2026-07-30T05:30:56.228533 966, 246.92, 0
4, 196.15, 0
HOLD 2026-07-30T05:30:56.520402 966, 246.90, 0
4, 196.14, 0
HOLD 2026-07-30T05:30:56.660127 966, 246.89, 0
4, 196.15, 0
HOLD 2026-07-30T05:30:56.807504 966, 246.87, 0
4, 196.18, 0
HOLD 2026-07-30T05:30:57.145187 966, 246.92, 0
4, 196.19, 0
HOLD 2026-07-30T05:30:57.509714 966, 246.96, 0
4, 196.24, 0
HOLD 2026-07-30T05:30:57.653903 966, 246.92, 0
4, 196.22, 0
HOLD 2026-07-30T05:30:58.109975 966, 246.86, 0
4, 196.22, 0
HOLD 2026-07-30T05:30:58.312596 966, 246.92, 0
4, 196.23, 0
HOLD 2026-07-30T05:30:58.626147 966, 246.94, 0
4, 196.21, 0
HOLD 2026-07-30T05:30:58.767919 966, 247.00, 0
4, 196.25, 0
HOLD 2026-07-30T05:30:59.039280 966, 247.01, 0
4, 196.27, 0
HOLD 2026-07-30T05:30:59.322577 966, 246.97, 0
4, 196.27, 0
HOLD 2026-07-30T05:30:59.640883 966, 246.90, 0
4, 196.26, 0
HOLD 2026-07-30T05:30:59.929802 966, 246.93, 0
4, 196.26, 0
HOLD 2026-07-30T05:31:00.283147 966, 246.99, 0
4, 196.22, 0
HOLD 2026-07-30T05:31:00.547163 966, 246.98, 0
4, 196.19, 0
HOLD 2026-07-30T05:31:00.862196 966, 246.93, 0
4, 196.20, 0
HOLD 2026-07-30T05:31:01.019889 966, 246.96, 0
4, 196.18, 0
HOLD 2026-07-30T05:31:01.305491 966, 246.97, 0
4, 196.16, 0
HOLD 2026-07-30T05:31:01.650662 966, 246.99, 0
4, 196.19, 0
HOLD 2026-07-30T05:31:01.795831 966, 247.03, 0
4, 196.15, 0
HOLD 2026-07-30T05:31:02.075635 966, 247.07, 0
4, 196.15, 0
HOLD 2026-07-30T05:31:02.222774 966, 246.98, 0
4, 196.09, 0
HOLD 2026-07-30T05:31:02.519544 966, 246.99, 0
4, 196.08, 0
HOLD 2026-07-30T05:31:02.660109 966, 246.97, 0
4, 196.05, 0
HOLD 2026-07-30T05:31:02.943584 966, 246.99, 0
4, 196.07, 0
HOLD 2026-07-30T05:31:03.086305 966, 246.99, 0
4, 196.05, 0
HOLD 2026-07-30T05:31:03.352278 966, 247.03, 0
4, 196.10, 0
HOLD 2026-07-30T05:31:03.760622 966, 246.99, 0
4, 196.18, 0
HOLD 2026-07-30T05:31:04.033825 966, 246.98, 0
4, 196.22, 0
HOLD 2026-07-30T05:31:04.321427 966, 246.99, 0
4, 196.23, 0
HOLD 2026-07-30T05:31:04.470638 966, 246.96, 0
4, 196.22, 0
HOLD 2026-07-30T05:31:04.801717 966, 246.93, 0
4, 196.22, 0
HOLD 2026-07-30T05:31:05.075900 966, 246.93, 0
4, 196.23, 0
HOLD 2026-07-30T05:31:05.344304 966, 246.92, 0
4, 196.23, 0
HOLD 2026-07-30T05:31:05.487860 966, 246.85, 0
4, 196.25, 0
HOLD 2026-07-30T05:31:05.741192 966, 246.91, 0
4, 196.26, 0
HOLD 2026-07-30T05:31:06.051197 966, 246.93, 0
4, 196.25, 0
HOLD 2026-07-30T05:31:06.193215 966, 246.96, 0
4, 196.30, 0
HOLD 2026-07-30T05:31:06.515557 966, 246.98, 0
4, 196.31, 0
HOLD 2026-07-30T05:31:06.655631 966, 247.02, 0
4, 196.33, 0
HOLD 2026-07-30T05:31:06.956093 966, 246.96, 0
4, 196.31, 0
HOLD 2026-07-30T05:31:07.099696 966, 247.02, 0
4, 196.28, 0
HOLD 2026-07-30T05:31:07.459809 966, 247.01, 0
4, 196.30, 0
HOLD 2026-07-30T05:31:07.733397 966, 246.91, 0
4, 196.28, 0
HOLD 2026-07-30T05:31:08.100289 966, 246.87, 0
4, 196.26, 0
HOLD 2026-07-30T05:31:08.240066 966, 246.87, 0
4, 196.28, 0
HOLD 2026-07-30T05:31:08.518816 966, 246.94, 0
4, 196.21, 0
HOLD 2026-07-30T05:31:08.661439 966, 246.95, 0
4, 196.25, 0
HOLD 2026-07-30T05:31:08.980736 966, 247.09, 0
4, 196.15, 0
HOLD 2026-07-30T05:31:09.335000 966, 247.06, 0
4, 196.15, 0
HOLD 2026-07-30T05:31:09.519238 966, 247.06, 0
4, 196.13, 0
HOLD 2026-07-30T05:31:09.822070 966, 247.04, 0
4, 196.10, 0
HOLD 2026-07-30T05:31:10.081930 966, 246.99, 0
4, 196.15, 0
HOLD 2026-07-30T05:31:10.228834 966, 247.05, 0
4, 196.17, 0
HOLD 2026-07-30T05:31:10.502200 966, 247.04, 0
4, 196.15, 0
HOLD 2026-07-30T05:31:10.654939 966, 247.02, 0
4, 196.16, 0
HOLD 2026-07-30T05:31:10.936924 966, 247.05, 0
4, 196.19, 0
HOLD 2026-07-30T05:31:11.078649 966, 247.03, 0
4, 196.23, 0
HOLD 2026-07-30T05:31:11.222865 966, 246.99, 0
4, 196.26, 0
HOLD 2026-07-30T05:31:11.371436 966, 247.04, 0
4, 196.26, 0
HOLD 2026-07-30T05:31:11.519330 966, 247.09, 0
4, 196.33, 0
HOLD 2026-07-30T05:31:11.803538 966, 247.08, 0
4, 196.37, 0
HOLD 2026-07-30T05:31:11.952992 966, 247.07, 0
4, 196.34, 0
HOLD 2026-07-30T05:31:12.226021 966, 247.01, 0
4, 196.33, 0
HOLD 2026-07-30T05:31:12.496226 966, 246.95, 0
4, 196.31, 0
HOLD 2026-07-30T05:31:12.760892 966, 246.96, 0
4, 196.30, 0
HOLD 2026-07-30T05:31:12.913039 966, 246.98, 0
4, 196.20, 0
HOLD 2026-07-30T05:31:13.216807 966, 247.03, 0
4, 196.21, 0
HOLD 2026-07-30T05:31:13.511297 966, 247.01, 0
4, 196.18, 0
HOLD 2026-07-30T05:31:13.653083 966, 247.06, 0
4, 196.17, 0
HOLD 2026-07-30T05:31:13.803677 966, 247.03, 0
4, 196.27, 0
HOLD 2026-07-30T05:31:14.170009 966, 247.01, 0
4, 196.24, 0
HOLD 2026-07-30T05:31:14.321435 966, 247.01, 0
4, 196.22, 0
HOLD 2026-07-30T05:31:14.462408 966, 247.02, 0
4, 196.27, 0
HOLD 2026-07-30T05:31:14.806643 966, 247.00, 0
4, 196.29, 0
HOLD 2026-07-30T05:31:15.129335 966, 247.00, 0
4, 196.35, 0
HOLD 2026-07-30T05:31:15.272610 966, 246.97, 0
4, 196.35, 0
HOLD 2026-07-30T05:31:15.555833 966, 246.97, 0
4, 196.32, 0
HOLD 2026-07-30T05:31:15.704918 966, 246.94, 0
4, 196.33, 0
HOLD 2026-07-30T05:31:15.859875 966, 246.95, 0
4, 196.37, 0
HOLD 2026-07-30T05:31:16.004097 966, 247.03, 0
4, 196.41, 0
HOLD 2026-07-30T05:31:16.359842 966, 247.04, 0
4, 196.40, 0
HOLD 2026-07-30T05:31:16.515776 966, 247.09, 0
4, 196.41, 0
HOLD 2026-07-30T05:31:16.656915 966, 247.09, 0
4, 196.42, 0
HOLD 2026-07-30T05:31:16.808407 966, 247.08, 0
4, 196.37, 0
HOLD 2026-07-30T05:31:16.952423 966, 247.00, 0
4, 196.30, 0
HOLD 2026-07-30T05:31:17.225943 966, 246.98, 0
4, 196.22, 0
HOLD 2026-07-30T05:31:17.552981 966, 247.01, 0
4, 196.24, 0
HOLD 2026-07-30T05:31:17.704232 966, 247.04, 0
4, 196.20, 0
HOLD 2026-07-30T05:31:18.010831 966, 247.07, 0
4, 196.21, 0
HOLD 2026-07-30T05:31:18.272593 966, 247.10, 0
4, 196.23, 0
HOLD 2026-07-30T05:31:18.423787 966, 247.10, 0
4, 196.25, 0
HOLD 2026-07-30T05:31:18.565020 966, 247.07, 0
4, 196.24, 0
HOLD 2026-07-30T05:31:18.712437 966, 247.01, 0
4, 196.24, 0
HOLD 2026-07-30T05:31:18.851604 966, 246.96, 0
4, 196.24, 0
HOLD 2026-07-30T05:31:18.998907 966, 247.00, 0
4, 196.32, 0
HOLD 2026-07-30T05:31:19.262201 966, 246.97, 0
4, 196.30, 0
HOLD 2026-07-30T05:31:19.407261 966, 246.97, 0
4, 196.35, 0
HOLD 2026-07-30T05:31:19.558246 966, 246.94, 0
4, 196.35, 0
HOLD 2026-07-30T05:31:19.710515 966, 246.93, 0
4, 196.37, 0
HOLD 2026-07-30T05:31:19.853124 966, 246.94, 0
4, 196.37, 0
HOLD 2026-07-30T05:31:19.996342 966, 246.97, 0
4, 196.41, 0
HOLD 2026-07-30T05:31:20.304906 966, 246.97, 0
4, 196.42, 0
HOLD 2026-07-30T05:31:20.465867 966, 246.99, 0
4, 196.41, 0
HOLD 2026-07-30T05:31:20.620655 966, 247.02, 0
4, 196.44, 0
HOLD 2026-07-30T05:31:20.909103 966, 247.06, 0
4, 196.38, 0
HOLD 2026-07-30T05:31:21.062049 966, 246.98, 0
4, 196.30, 0
HOLD 2026-07-30T05:31:21.358974 966, 246.91, 0
4, 196.28, 0
HOLD 2026-07-30T05:31:21.511815 966, 246.93, 0
4, 196.28, 0
HOLD 2026-07-30T05:31:21.655936 966, 246.95, 0
4, 196.19, 0
HOLD 2026-07-30T05:31:21.944561 966, 246.96, 0
4, 196.19, 0
HOLD 2026-07-30T05:31:22.092320 966, 247.00, 0
4, 196.24, 0
HOLD 2026-07-30T05:31:22.355534 966, 247.06, 0
4, 196.24, 0
HOLD 2026-07-30T05:31:22.721958 966, 247.04, 0
4, 196.25, 0
HOLD 2026-07-30T05:31:22.869137 966, 247.03, 0
4, 196.29, 0
HOLD 2026-07-30T05:31:23.016636 966, 247.04, 0
4, 196.23, 0
HOLD 2026-07-30T05:31:23.307019 966, 247.04, 0
4, 196.20, 0
HOLD 2026-07-30T05:31:23.457957 966, 247.03, 0
4, 196.19, 0
HOLD 2026-07-30T05:31:23.690135 966, 247.05, 0
4, 196.18, 0
HOLD 2026-07-30T05:31:23.838959 966, 247.07, 0
4, 196.17, 0
HOLD 2026-07-30T05:31:23.981878 966, 247.09, 0
4, 196.21, 0
HOLD 2026-07-30T05:31:24.325335 966, 247.09, 0
4, 196.13, 0
HOLD 2026-07-30T05:31:24.469350 966, 247.13, 0
4, 196.18, 0
HOLD 2026-07-30T05:31:24.731900 966, 247.09, 0
4, 196.19, 0
HOLD 2026-07-30T05:31:24.880278 966, 247.03, 0
4, 196.21, 0
HOLD 2026-07-30T05:31:25.171159 966, 247.06, 0
4, 196.23, 0
HOLD 2026-07-30T05:31:25.322872 966, 247.08, 0
4, 196.24, 0
HOLD 2026-07-30T05:31:25.764428 966, 247.10, 0
4, 196.26, 0
HOLD 2026-07-30T05:31:25.926531 966, 247.07, 0
4, 196.24, 0
HOLD 2026-07-30T05:31:26.213546 966, 247.07, 0
4, 196.26, 0
HOLD 2026-07-30T05:31:26.362875 966, 247.10, 0
4, 196.26, 0
HOLD 2026-07-30T05:31:26.523843 966, 247.10, 0
4, 196.26, 0
HOLD 2026-07-30T05:31:26.666229 966, 247.07, 0
4, 196.23, 0
HOLD 2026-07-30T05:31:26.945788 966, 247.05, 0
4, 196.23, 0
HOLD 2026-07-30T05:31:27.090874 966, 247.00, 0
4, 196.23, 0
HOLD 2026-07-30T05:31:27.383476 966, 247.05, 0
4, 196.23, 0
HOLD 2026-07-30T05:31:27.526700 966, 247.01, 0
4, 196.20, 0
HOLD 2026-07-30T05:31:27.669311 966, 247.03, 0
4, 196.23, 0
HOLD 2026-07-30T05:31:27.817394 966, 247.01, 0
4, 196.24, 0
HOLD 2026-07-30T05:31:27.957673 966, 247.04, 0
4, 196.24, 0
HOLD 2026-07-30T05:31:28.107718 966, 247.03, 0
4, 196.28, 0
HOLD 2026-07-30T05:31:28.255665 966, 246.99, 0
4, 196.28, 0
HOLD 2026-07-30T05:31:28.546991 966, 246.98, 0
4, 196.33, 0
HOLD 2026-07-30T05:31:28.692259 966, 246.98, 0
4, 196.33, 0
HOLD 2026-07-30T05:31:28.941844 966, 246.97, 0
4, 196.32, 0
HOLD 2026-07-30T05:31:29.084690 966, 246.99, 0
4, 196.34, 0
HOLD 2026-07-30T05:31:29.385274 966, 246.99, 0
4, 196.32, 0
HOLD 2026-07-30T05:31:29.534296 966, 246.99, 0
4, 196.32, 0
HOLD 2026-07-30T05:31:29.676297 966, 247.00, 0
4, 196.31, 0
HOLD 2026-07-30T05:31:29.825275 966, 246.99, 0
4, 196.34, 0
HOLD 2026-07-30T05:31:30.188520 966, 246.99, 0
4, 196.31, 0
HOLD 2026-07-30T05:31:30.333010 966, 246.98, 0
4, 196.29, 0
HOLD 2026-07-30T05:31:30.474907 966, 246.97, 0
4, 196.34, 0
HOLD 2026-07-30T05:31:30.619860 966, 247.01, 0
4, 196.31, 0
HOLD 2026-07-30T05:31:30.760342 966, 247.04, 0
4, 196.30, 0
HOLD 2026-07-30T05:31:30.944573 966, 247.13, 0
4, 196.21, 0
HOLD 2026-07-30T05:31:31.230361 966, 247.14, 0
4, 196.22, 0
HOLD 2026-07-30T05:31:31.399894 966, 247.15, 0
4, 196.21, 0
HOLD 2026-07-30T05:31:31.549918 966, 247.22, 0
4, 196.16, 0
HOLD 2026-07-30T05:31:31.698776 966, 247.15, 0
4, 196.19, 0
HOLD 2026-07-30T05:31:31.844360 966, 247.14, 0
4, 196.23, 0
HOLD 2026-07-30T05:31:31.985274 966, 247.16, 0
4, 196.21, 0
