=== PHASE A: Writing known pattern, sustained hold ===
4, 196.34, 0
HOLD 2026-07-30T05:32:47.955198 966, 247.26, 0
4, 196.34, 0
HOLD 2026-07-30T05:32:48.102671 966, 247.15, 0
4, 196.35, 0
HOLD 2026-07-30T05:32:48.420263 966, 247.15, 0
4, 196.36, 0
HOLD 2026-07-30T05:32:48.559867 966, 247.18, 0
4, 196.26, 0
HOLD 2026-07-30T05:32:48.856311 966, 247.18, 0
4, 196.23, 0
HOLD 2026-07-30T05:32:49.001886 966, 247.16, 0
4, 196.23, 0
HOLD 2026-07-30T05:32:49.152893 966, 247.16, 0
4, 196.23, 0
HOLD 2026-07-30T05:32:49.300194 966, 247.17, 0
4, 196.20, 0
HOLD 2026-07-30T05:32:49.448366 966, 247.16, 0
4, 196.25, 0
HOLD 2026-07-30T05:32:49.593841 966, 247.08, 0
4, 196.23, 0
HOLD 2026-07-30T05:32:49.737611 966, 247.10, 0
4, 196.27, 0
HOLD 2026-07-30T05:32:49.876055 966, 247.12, 0
4, 196.29, 0
HOLD 2026-07-30T05:32:50.023686 966, 247.14, 0
4, 196.30, 0
HOLD 2026-07-30T05:32:50.356788 966, 247.10, 0
4, 196.33, 0
HOLD 2026-07-30T05:32:50.680110 966, 247.15, 0
4, 196.33, 0
HOLD 2026-07-30T05:32:50.823579 966, 247.14, 0
4, 196.34, 0
HOLD 2026-07-30T05:32:51.147816 966, 247.16, 0
4, 196.33, 0
HOLD 2026-07-30T05:32:51.296544 966, 247.15, 0
4, 196.32, 0
HOLD 2026-07-30T05:32:51.439400 966, 247.19, 0
4, 196.31, 0
HOLD 2026-07-30T05:32:51.581873 966, 247.21, 0
4, 196.28, 0
HOLD 2026-07-30T05:32:51.726421 966, 247.20, 0
4, 196.26, 0
HOLD 2026-07-30T05:32:51.869481 966, 247.19, 0
4, 196.23, 0
HOLD 2026-07-30T05:32:52.017121 966, 247.14, 0
4, 196.21, 0
HOLD 2026-07-30T05:32:52.348695 966, 247.14, 0
4, 196.20, 0
HOLD 2026-07-30T05:32:52.492438 966, 247.16, 0
4, 196.20, 0
HOLD 2026-07-30T05:32:52.635325 966, 247.19, 0
4, 196.23, 0
HOLD 2026-07-30T05:32:52.777834 966, 247.23, 0
4, 196.21, 0
HOLD 2026-07-30T05:32:53.054719 966, 247.24, 0
4, 196.19, 0
HOLD 2026-07-30T05:32:53.208662 966, 247.24, 0
4, 196.13, 0
HOLD 2026-07-30T05:32:53.350643 966, 247.24, 0
4, 196.13, 0
HOLD 2026-07-30T05:32:53.507894 966, 247.22, 0
4, 196.13, 0
HOLD 2026-07-30T05:32:53.653220 966, 247.21, 0
4, 196.05, 0
HOLD 2026-07-30T05:32:53.795292 966, 247.19, 0
4, 196.02, 0
HOLD 2026-07-30T05:32:53.937338 966, 247.19, 0
4, 196.06, 0
HOLD 2026-07-30T05:32:54.078523 966, 247.22, 0
4, 196.05, 0
HOLD 2026-07-30T05:32:54.222906 966, 247.20, 0
4, 196.09, 0
HOLD 2026-07-30T05:32:54.363373 966, 247.20, 0
4, 196.07, 0
HOLD 2026-07-30T05:32:54.510357 966, 247.23, 0
4, 196.12, 0
HOLD 2026-07-30T05:32:54.650759 966, 247.20, 0
4, 196.19, 0
HOLD 2026-07-30T05:32:54.802526 966, 247.18, 0
4, 196.22, 0
HOLD 2026-07-30T05:32:54.947158 966, 247.18, 0
4, 196.19, 0
HOLD 2026-07-30T05:32:55.279733 966, 247.25, 0
4, 196.25, 0
HOLD 2026-07-30T05:32:55.444570 966, 247.24, 0
4, 196.22, 0
HOLD 2026-07-30T05:32:55.584654 966, 247.26, 0
4, 196.21, 0
HOLD 2026-07-30T05:32:55.725553 966, 247.25, 0
4, 196.20, 0
HOLD 2026-07-30T05:32:55.866413 966, 247.28, 0
4, 196.21, 0
HOLD 2026-07-30T05:32:56.012399 966, 247.28, 0
4, 196.25, 0
HOLD 2026-07-30T05:32:56.153931 966, 247.31, 0
4, 196.31, 0
HOLD 2026-07-30T05:32:56.294732 966, 247.26, 0
4, 196.28, 0
HOLD 2026-07-30T05:32:56.615895 966, 247.21, 0
4, 196.26, 0
HOLD 2026-07-30T05:32:56.762155 966, 247.24, 0
4, 196.26, 0
HOLD 2026-07-30T05:32:56.910225 966, 247.24, 0
4, 196.22, 0
HOLD 2026-07-30T05:32:57.165471 966, 247.22, 0
4, 196.28, 0
HOLD 2026-07-30T05:32:57.638468 966, 247.20, 0
4, 196.27, 0
HOLD 2026-07-30T05:32:57.936579 966, 247.24, 0
4, 196.24, 0
HOLD 2026-07-30T05:32:58.082089 966, 247.23, 0
4, 196.24, 0
HOLD 2026-07-30T05:32:58.224054 966, 247.31, 0
4, 196.19, 0
HOLD 2026-07-30T05:32:58.566138 966, 247.34, 0
4, 196.17, 0
HOLD 2026-07-30T05:32:58.711067 966, 247.31, 0
4, 196.18, 0
HOLD 2026-07-30T05:32:58.854320 966, 247.25, 0
4, 196.24, 0
HOLD 2026-07-30T05:32:59.219566 966, 247.21, 0
4, 196.20, 0
HOLD 2026-07-30T05:32:59.361423 966, 247.21, 0
4, 196.24, 0
HOLD 2026-07-30T05:32:59.511742 966, 247.18, 0
4, 196.23, 0
HOLD 2026-07-30T05:32:59.652975 966, 247.25, 0
4, 196.21, 0
HOLD 2026-07-30T05:32:59.925982 966, 247.28, 0
4, 196.22, 0
HOLD 2026-07-30T05:33:00.210600 966, 247.22, 0
4, 196.23, 0
HOLD 2026-07-30T05:33:00.355269 966, 247.18, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:00.634505 966, 247.16, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:00.780495 966, 247.16, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:00.925387 966, 247.16, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:01.066438 966, 247.19, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:01.340468 966, 247.22, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:01.481994 966, 247.23, 0
4, 196.22, 0
HOLD 2026-07-30T05:33:01.623315 966, 247.23, 0
4, 196.23, 0
HOLD 2026-07-30T05:33:01.765137 966, 247.16, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:02.121665 966, 247.18, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:02.262769 966, 247.10, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:02.615378 966, 247.10, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:02.762391 966, 247.12, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:02.964259 966, 247.14, 0
4, 196.26, 0
HOLD 2026-07-30T05:33:03.114602 966, 247.12, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:03.255550 966, 247.12, 0
4, 196.28, 0
HOLD 2026-07-30T05:33:03.405565 966, 247.18, 0
4, 196.32, 0
HOLD 2026-07-30T05:33:03.548412 966, 247.27, 0
4, 196.31, 0
HOLD 2026-07-30T05:33:03.828131 966, 247.24, 0
4, 196.30, 0
HOLD 2026-07-30T05:33:03.970596 966, 247.29, 0
4, 196.32, 0
HOLD 2026-07-30T05:33:04.242580 966, 247.30, 0
4, 196.29, 0
HOLD 2026-07-30T05:33:04.383047 966, 247.31, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:04.714002 966, 247.33, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:04.859756 966, 247.31, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:05.013057 966, 247.27, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:05.151985 966, 247.24, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:05.294370 966, 247.15, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:05.562506 966, 247.14, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:05.924865 966, 247.11, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:06.067320 966, 247.12, 0
4, 196.24, 0
HOLD 2026-07-30T05:33:06.215214 966, 247.15, 0
4, 196.23, 0
HOLD 2026-07-30T05:33:06.505137 966, 247.12, 0
4, 196.25, 0
HOLD 2026-07-30T05:33:06.650808 966, 247.09, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:06.962192 966, 247.13, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:07.255086 966, 247.16, 0
4, 196.12, 0
HOLD 2026-07-30T05:33:07.621837 966, 247.12, 0
4, 196.12, 0
HOLD 2026-07-30T05:33:07.760935 966, 247.21, 0
4, 196.08, 0
HOLD 2026-07-30T05:33:08.087490 966, 247.21, 0
4, 196.06, 0
HOLD 2026-07-30T05:33:08.293239 966, 247.28, 0
4, 196.12, 0
HOLD 2026-07-30T05:33:08.617228 966, 247.34, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:08.891016 966, 247.22, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:09.239555 966, 247.15, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:09.559015 966, 247.16, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:09.709687 966, 247.12, 0
4, 196.15, 0
HOLD 2026-07-30T05:33:09.854654 966, 247.20, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:10.182012 966, 247.19, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:10.326331 966, 247.12, 0
4, 196.24, 0
HOLD 2026-07-30T05:33:10.657850 966, 247.11, 0
4, 196.24, 0
HOLD 2026-07-30T05:33:10.807842 966, 247.07, 0
4, 196.30, 0
HOLD 2026-07-30T05:33:11.153872 966, 247.12, 0
4, 196.28, 0
HOLD 2026-07-30T05:33:11.409912 966, 247.13, 0
4, 196.24, 0
HOLD 2026-07-30T05:33:11.575249 966, 247.13, 0
4, 196.22, 0
HOLD 2026-07-30T05:33:11.842701 966, 247.17, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:12.121070 966, 247.13, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:12.358928 966, 247.17, 0
4, 196.22, 0
HOLD 2026-07-30T05:33:12.513117 966, 247.22, 0
4, 196.24, 0
HOLD 2026-07-30T05:33:12.819736 966, 247.22, 0
4, 196.26, 0
HOLD 2026-07-30T05:33:13.099449 966, 247.22, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:13.381377 966, 247.13, 0
4, 196.28, 0
HOLD 2026-07-30T05:33:13.629205 966, 247.25, 0
4, 196.30, 0
HOLD 2026-07-30T05:33:13.989307 966, 247.28, 0
4, 196.24, 0
HOLD 2026-07-30T05:33:14.133566 966, 247.28, 0
4, 196.24, 0
HOLD 2026-07-30T05:33:14.278271 966, 247.31, 0
4, 196.23, 0
HOLD 2026-07-30T05:33:14.425876 966, 247.32, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:14.568205 966, 247.28, 0
4, 196.10, 0
HOLD 2026-07-30T05:33:14.858160 966, 247.26, 0
4, 196.06, 0
HOLD 2026-07-30T05:33:15.010642 966, 247.32, 0
4, 196.09, 0
HOLD 2026-07-30T05:33:15.355653 966, 247.27, 0
4, 196.04, 0
HOLD 2026-07-30T05:33:15.707509 966, 247.28, 0
4, 196.03, 0
HOLD 2026-07-30T05:33:15.856454 966, 247.18, 0
4, 195.99, 0
HOLD 2026-07-30T05:33:16.150656 966, 247.14, 0
4, 195.98, 0
HOLD 2026-07-30T05:33:16.295997 966, 247.19, 0
4, 195.97, 0
HOLD 2026-07-30T05:33:16.458474 966, 247.19, 0
4, 196.00, 0
HOLD 2026-07-30T05:33:16.609737 966, 247.22, 0
4, 196.02, 0
HOLD 2026-07-30T05:33:16.885290 966, 247.24, 0
4, 196.06, 0
HOLD 2026-07-30T05:33:17.122333 966, 247.30, 0
4, 196.10, 0
HOLD 2026-07-30T05:33:17.262488 966, 247.26, 0
4, 196.08, 0
HOLD 2026-07-30T05:33:17.619969 966, 247.24, 0
4, 196.11, 0
HOLD 2026-07-30T05:33:17.883468 966, 247.20, 0
4, 196.07, 0
HOLD 2026-07-30T05:33:18.028187 966, 247.16, 0
4, 196.10, 0
HOLD 2026-07-30T05:33:18.170973 966, 247.14, 0
4, 196.12, 0
HOLD 2026-07-30T05:33:18.405632 966, 247.12, 0
4, 196.06, 0
HOLD 2026-07-30T05:33:18.706118 966, 247.11, 0
4, 196.09, 0
HOLD 2026-07-30T05:33:18.966772 966, 247.12, 0
4, 196.07, 0
HOLD 2026-07-30T05:33:19.308688 966, 247.18, 0
4, 196.05, 0
HOLD 2026-07-30T05:33:19.453985 966, 247.18, 0
4, 196.07, 0
HOLD 2026-07-30T05:33:19.599708 966, 247.18, 0
4, 196.08, 0
HOLD 2026-07-30T05:33:19.899826 966, 247.16, 0
4, 196.07, 0
HOLD 2026-07-30T05:33:20.193876 966, 247.18, 0
4, 196.10, 0
HOLD 2026-07-30T05:33:20.339475 966, 247.16, 0
4, 196.07, 0
HOLD 2026-07-30T05:33:20.631146 966, 247.18, 0
4, 196.00, 0
HOLD 2026-07-30T05:33:20.914428 966, 247.19, 0
4, 196.03, 0
HOLD 2026-07-30T05:33:21.059195 966, 247.16, 0
4, 195.99, 0
HOLD 2026-07-30T05:33:21.215671 966, 247.19, 0
4, 195.99, 0
HOLD 2026-07-30T05:33:21.355706 966, 247.21, 0
4, 196.03, 0
HOLD 2026-07-30T05:33:21.721272 966, 247.19, 0
4, 196.08, 0
HOLD 2026-07-30T05:33:22.045930 966, 247.18, 0
4, 195.99, 0
HOLD 2026-07-30T05:33:22.345834 966, 247.16, 0
4, 196.01, 0
HOLD 2026-07-30T05:33:22.720877 966, 247.11, 0
4, 196.00, 0
HOLD 2026-07-30T05:33:23.027963 966, 247.16, 0
4, 196.07, 0
HOLD 2026-07-30T05:33:23.326863 966, 247.15, 0
4, 196.07, 0
HOLD 2026-07-30T05:33:23.470300 966, 247.19, 0
4, 196.15, 0
HOLD 2026-07-30T05:33:23.742988 966, 247.20, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:24.021874 966, 247.20, 0
4, 196.15, 0
HOLD 2026-07-30T05:33:24.169550 966, 247.21, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:24.453718 966, 247.20, 0
4, 196.14, 0
HOLD 2026-07-30T05:33:24.606300 966, 247.20, 0
4, 196.12, 0
HOLD 2026-07-30T05:33:24.917626 966, 247.24, 0
4, 196.07, 0
HOLD 2026-07-30T05:33:25.058123 966, 247.22, 0
4, 196.07, 0
HOLD 2026-07-30T05:33:25.208043 966, 247.16, 0
4, 196.09, 0
HOLD 2026-07-30T05:33:25.492211 966, 247.15, 0
4, 196.08, 0
HOLD 2026-07-30T05:33:25.817618 966, 247.22, 0
4, 196.11, 0
HOLD 2026-07-30T05:33:26.146995 966, 247.22, 0
4, 196.11, 0
HOLD 2026-07-30T05:33:26.293459 966, 247.28, 0
4, 196.14, 0
HOLD 2026-07-30T05:33:26.624209 966, 247.24, 0
4, 196.13, 0
HOLD 2026-07-30T05:33:26.766476 966, 247.22, 0
4, 196.15, 0
HOLD 2026-07-30T05:33:26.933139 966, 247.18, 0
4, 196.12, 0
HOLD 2026-07-30T05:33:27.214385 966, 247.18, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:27.354719 966, 247.18, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:27.644689 966, 247.19, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:27.977665 966, 247.22, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:28.323130 966, 247.13, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:28.633812 966, 247.14, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:28.790386 966, 247.10, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:28.937839 966, 247.08, 0
4, 196.14, 0
HOLD 2026-07-30T05:33:29.081710 966, 247.10, 0
4, 196.14, 0
HOLD 2026-07-30T05:33:29.223266 966, 247.16, 0
4, 196.15, 0
HOLD 2026-07-30T05:33:29.630472 966, 247.20, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:29.772553 966, 247.20, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:29.919720 966, 247.20, 0
4, 196.24, 0
HOLD 2026-07-30T05:33:30.060265 966, 247.26, 0
4, 196.27, 0
HOLD 2026-07-30T05:33:30.357356 966, 247.24, 0
4, 196.23, 0
HOLD 2026-07-30T05:33:30.505481 966, 247.15, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:30.812637 966, 247.19, 0
4, 196.15, 0
HOLD 2026-07-30T05:33:31.154896 966, 247.17, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:31.505533 966, 247.17, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:31.654431 966, 247.22, 0
4, 196.25, 0
HOLD 2026-07-30T05:33:31.942994 966, 247.22, 0
4, 196.24, 0
HOLD 2026-07-30T05:33:32.157101 966, 247.25, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:32.424728 966, 247.29, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:32.567305 966, 247.28, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:32.718485 966, 247.22, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:33.022021 966, 247.19, 0
4, 196.22, 0
HOLD 2026-07-30T05:33:33.160949 966, 247.16, 0
4, 196.23, 0
HOLD 2026-07-30T05:33:33.311141 966, 247.16, 0
4, 196.25, 0
HOLD 2026-07-30T05:33:33.450954 966, 247.20, 0
4, 196.15, 0
HOLD 2026-07-30T05:33:33.749754 966, 247.21, 0
4, 196.15, 0
HOLD 2026-07-30T05:33:33.903523 966, 247.17, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:34.249183 966, 247.15, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:34.393592 966, 247.10, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:34.535515 966, 247.14, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:34.987011 966, 247.24, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:35.258087 966, 247.24, 0
4, 196.14, 0
HOLD 2026-07-30T05:33:35.619203 966, 247.15, 0
4, 196.12, 0
HOLD 2026-07-30T05:33:35.915728 966, 247.11, 0
4, 196.12, 0
HOLD 2026-07-30T05:33:36.061076 966, 247.06, 0
4, 196.10, 0
HOLD 2026-07-30T05:33:36.354611 966, 247.14, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:36.659923 966, 247.18, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:36.809041 966, 247.20, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:36.951923 966, 247.18, 0
4, 196.23, 0
HOLD 2026-07-30T05:33:37.225479 966, 247.22, 0
4, 196.26, 0
HOLD 2026-07-30T05:33:37.409747 966, 247.24, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:37.742913 966, 247.24, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:37.883036 966, 247.26, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:38.021894 966, 247.28, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:38.162797 966, 247.25, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:38.303585 966, 247.18, 0
4, 196.15, 0
HOLD 2026-07-30T05:33:38.573509 966, 247.17, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:38.724061 966, 247.21, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:39.414711 966, 247.19, 0
4, 196.15, 0
HOLD 2026-07-30T05:33:39.781872 966, 247.18, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:40.081846 966, 247.15, 0
4, 196.24, 0
HOLD 2026-07-30T05:33:40.237600 966, 247.20, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:40.462157 966, 247.24, 0
4, 196.25, 0
HOLD 2026-07-30T05:33:40.775079 966, 247.23, 0
4, 196.26, 0
HOLD 2026-07-30T05:33:40.923612 966, 247.27, 0
4, 196.22, 0
HOLD 2026-07-30T05:33:41.064805 966, 247.31, 0
4, 196.14, 0
HOLD 2026-07-30T05:33:41.331775 966, 247.31, 0
4, 196.23, 0
HOLD 2026-07-30T05:33:41.649476 966, 247.31, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:41.929236 966, 247.27, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:42.074936 966, 247.25, 0
4, 196.27, 0
HOLD 2026-07-30T05:33:42.221391 966, 247.26, 0
4, 196.33, 0
HOLD 2026-07-30T05:33:42.360798 966, 247.23, 0
4, 196.26, 0
HOLD 2026-07-30T05:33:42.705515 966, 247.26, 0
4, 196.29, 0
HOLD 2026-07-30T05:33:42.963014 966, 247.29, 0
4, 196.23, 0
HOLD 2026-07-30T05:33:43.114539 966, 247.28, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:43.258190 966, 247.28, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:43.409703 966, 247.23, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:43.686364 966, 247.20, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:43.827710 966, 247.15, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:44.107200 966, 247.14, 0
4, 196.23, 0
HOLD 2026-07-30T05:33:44.428331 966, 247.22, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:44.721152 966, 247.21, 0
4, 196.22, 0
HOLD 2026-07-30T05:33:44.863068 966, 247.24, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:45.003245 966, 247.26, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:45.343992 966, 247.22, 0
4, 196.22, 0
HOLD 2026-07-30T05:33:45.645391 966, 247.23, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:45.885199 966, 247.23, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:46.062261 966, 247.15, 0
4, 196.14, 0
HOLD 2026-07-30T05:33:46.350590 966, 247.16, 0
4, 196.09, 0
HOLD 2026-07-30T05:33:46.717332 966, 247.13, 0
4, 196.10, 0
HOLD 2026-07-30T05:33:46.856941 966, 247.20, 0
4, 196.06, 0
HOLD 2026-07-30T05:33:47.009828 966, 247.21, 0
4, 196.05, 0
HOLD 2026-07-30T05:33:47.257425 966, 247.23, 0
4, 196.05, 0
HOLD 2026-07-30T05:33:47.523780 966, 247.19, 0
4, 196.05, 0
HOLD 2026-07-30T05:33:47.907310 966, 247.17, 0
4, 196.14, 0
HOLD 2026-07-30T05:33:48.055575 966, 247.13, 0
4, 196.15, 0
HOLD 2026-07-30T05:33:48.372558 966, 247.10, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:48.517311 966, 247.14, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:48.657937 966, 247.15, 0
4, 196.22, 0
HOLD 2026-07-30T05:33:48.806590 966, 247.18, 0
4, 196.28, 0
HOLD 2026-07-30T05:33:48.948584 966, 247.19, 0
4, 196.29, 0
HOLD 2026-07-30T05:33:49.088813 966, 247.19, 0
4, 196.29, 0
HOLD 2026-07-30T05:33:49.233967 966, 247.28, 0
4, 196.24, 0
HOLD 2026-07-30T05:33:49.553943 966, 247.32, 0
4, 196.25, 0
HOLD 2026-07-30T05:33:49.885764 966, 247.34, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:50.029041 966, 247.25, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:50.352563 966, 247.24, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:50.496406 966, 247.15, 0
4, 196.12, 0
HOLD 2026-07-30T05:33:50.637115 966, 247.07, 0
4, 196.10, 0
HOLD 2026-07-30T05:33:50.777934 966, 247.05, 0
4, 196.07, 0
HOLD 2026-07-30T05:33:50.919725 966, 247.03, 0
4, 196.10, 0
HOLD 2026-07-30T05:33:51.292460 966, 247.06, 0
4, 196.10, 0
HOLD 2026-07-30T05:33:51.435378 966, 247.07, 0
4, 196.10, 0
HOLD 2026-07-30T05:33:51.575003 966, 247.15, 0
4, 196.13, 0
HOLD 2026-07-30T05:33:51.721735 966, 247.21, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:51.987904 966, 247.19, 0
4, 196.10, 0
HOLD 2026-07-30T05:33:52.328889 966, 247.16, 0
4, 196.13, 0
HOLD 2026-07-30T05:33:52.467292 966, 247.16, 0
4, 196.13, 0
HOLD 2026-07-30T05:33:52.744835 966, 247.15, 0
4, 196.10, 0
HOLD 2026-07-30T05:33:52.884399 966, 247.12, 0
4, 196.13, 0
HOLD 2026-07-30T05:33:53.027838 966, 247.16, 0
4, 196.15, 0
HOLD 2026-07-30T05:33:53.183396 966, 247.16, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:53.328124 966, 247.12, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:53.594364 966, 247.11, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:53.736766 966, 247.13, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:54.054700 966, 247.14, 0
4, 196.20, 0
HOLD 2026-07-30T05:33:54.196617 966, 247.14, 0
4, 196.21, 0
HOLD 2026-07-30T05:33:54.336661 966, 247.23, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:54.617847 966, 247.19, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:55.196134 966, 247.18, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:55.505932 966, 247.18, 0
4, 196.11, 0
HOLD 2026-07-30T05:33:55.655192 966, 247.15, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:55.928031 966, 247.15, 0
4, 196.19, 0
HOLD 2026-07-30T05:33:56.067798 966, 247.16, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:56.216579 966, 247.11, 0
4, 196.23, 0
HOLD 2026-07-30T05:33:56.547466 966, 247.11, 0
4, 195.79, 0
HOLD 2026-07-30T05:33:56.916640 966, 247.12, 0
4, 196.14, 0
HOLD 2026-07-30T05:33:57.247880 966, 247.13, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:57.389436 966, 247.21, 0
4, 196.13, 0
HOLD 2026-07-30T05:33:57.658404 966, 247.21, 0
4, 196.13, 0
HOLD 2026-07-30T05:33:57.804833 966, 247.14, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:57.949489 966, 247.16, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:58.097844 966, 247.18, 0
4, 196.25, 0
HOLD 2026-07-30T05:33:58.362392 966, 247.13, 0
4, 196.27, 0
HOLD 2026-07-30T05:33:58.702115 966, 247.15, 0
4, 196.18, 0
HOLD 2026-07-30T05:33:58.998117 966, 247.12, 0
4, 196.14, 0
HOLD 2026-07-30T05:33:59.140937 966, 247.18, 0
4, 196.12, 0
HOLD 2026-07-30T05:33:59.281625 966, 247.18, 0
4, 196.16, 0
HOLD 2026-07-30T05:33:59.423998 966, 247.16, 0
4, 196.17, 0
HOLD 2026-07-30T05:33:59.785400 966, 247.14, 0
4, 196.13, 0
HOLD 2026-07-30T05:33:59.932831 966, 247.15, 0
4, 196.17, 0
HOLD 2026-07-30T05:34:00.073582 966, 247.10, 0
4, 196.10, 0
HOLD 2026-07-30T05:34:00.360054 966, 247.10, 0
4, 196.10, 0
HOLD 2026-07-30T05:34:00.651941 966, 247.12, 0
4, 196.11, 0
HOLD 2026-07-30T05:34:00.795356 966, 247.14, 0
4, 196.19, 0
HOLD 2026-07-30T05:34:00.941268 966, 247.14, 0
4, 196.16, 0
HOLD 2026-07-30T05:34:01.206298 966, 247.14, 0
4, 196.21, 0
HOLD 2026-07-30T05:34:01.452426 966, 247.11, 0
4, 196.22, 0
HOLD 2026-07-30T05:34:01.595538 966, 247.08, 0
4, 196.22, 0
HOLD 2026-07-30T05:34:01.891843 966, 247.17, 0
4, 196.20, 0
HOLD 2026-07-30T05:34:02.124142 966, 247.15, 0
4, 196.22, 0
HOLD 2026-07-30T05:34:02.424579 966, 247.15, 0
4, 196.19, 0
HOLD 2026-07-30T05:34:02.564716 966, 247.15, 0
4, 196.18, 0
