epoch,iso,phase,interval_ms,power.draw,utilization.gpu,utilization.memory,memory.used,clocks.sm,clocks.mem,temperature.gpu
1785388687.457,2026-07-30T05:18:07.457196+00:00,contended,33.5,822.02,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388687.494,2026-07-30T05:18:07.494072+00:00,contended,36.9,822.02,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388687.53,2026-07-30T05:18:07.529766+00:00,contended,35.7,825.59,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388687.563,2026-07-30T05:18:07.563429+00:00,contended,33.7,825.59,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388687.604,2026-07-30T05:18:07.604104+00:00,contended,40.7,831.6,100.0,3.0,1940.0,1965.0,3996.0,66.0
1785388687.64,2026-07-30T05:18:07.639903+00:00,contended,35.8,831.6,100.0,3.0,1940.0,1965.0,3996.0,66.0
1785388687.675,2026-07-30T05:18:07.675310+00:00,contended,35.4,831.6,100.0,3.0,1940.0,1965.0,3996.0,66.0
1785388687.716,2026-07-30T05:18:07.715686+00:00,contended,40.4,840.07,99.0,3.0,1940.0,1965.0,3996.0,66.0
1785388687.751,2026-07-30T05:18:07.750577+00:00,contended,34.9,840.07,99.0,3.0,1940.0,1965.0,3996.0,66.0
1785388687.782,2026-07-30T05:18:07.782110+00:00,contended,31.5,840.07,99.0,3.0,1940.0,1965.0,3996.0,66.0
1785388687.824,2026-07-30T05:18:07.824015+00:00,contended,41.9,847.74,99.0,3.0,1940.0,1965.0,3996.0,66.0
1785388687.859,2026-07-30T05:18:07.859270+00:00,contended,35.3,847.74,99.0,3.0,1940.0,1965.0,3996.0,66.0
1785388687.896,2026-07-30T05:18:07.895901+00:00,contended,36.6,847.74,100.0,3.0,1940.0,1965.0,3996.0,66.0
1785388687.935,2026-07-30T05:18:07.934685+00:00,contended,38.8,848.81,100.0,3.0,1940.0,1965.0,3996.0,66.0
1785388687.967,2026-07-30T05:18:07.966722+00:00,contended,32.0,848.81,100.0,3.0,1940.0,1965.0,3996.0,66.0
1785388688.009,2026-07-30T05:18:08.009421+00:00,contended,42.7,847.39,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.045,2026-07-30T05:18:08.044516+00:00,contended,35.1,847.39,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.078,2026-07-30T05:18:08.078229+00:00,contended,33.7,847.39,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.119,2026-07-30T05:18:08.118569+00:00,contended,40.3,844.89,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.153,2026-07-30T05:18:08.153296+00:00,contended,34.7,844.89,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.187,2026-07-30T05:18:08.186731+00:00,contended,33.4,844.89,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.226,2026-07-30T05:18:08.225630+00:00,contended,38.9,841.16,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.26,2026-07-30T05:18:08.260430+00:00,contended,34.8,841.16,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.298,2026-07-30T05:18:08.298419+00:00,contended,38.0,841.16,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.337,2026-07-30T05:18:08.337055+00:00,contended,38.6,836.77,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.371,2026-07-30T05:18:08.371377+00:00,contended,34.3,836.77,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.412,2026-07-30T05:18:08.412239+00:00,contended,40.9,830.38,100.0,3.0,1940.0,1965.0,3996.0,65.0
